Restaurant; UrlMichelin; Chef; PostalCode ; PriceRange
Nomicos;  https://restaurant.michelin.fr/2fdwgd3/nomicos-paris-16; Jean-Louis Nomicos; 75016; Prix - De 58 € à 141 €
Maison Jeunet;  https://restaurant.michelin.fr/28pylpu/maison-jeunet-arbois; Steven Naessens; 39600; Prix - De 65 € à 118 €
Chez Michèle;  https://restaurant.michelin.fr/29pia6z/chez-michele-languimberg; Bruno Poiré; 57810; Prix - De 25 € à 140 €
Auberge du Cheval Blanc;  https://restaurant.michelin.fr/29qf1y7/auberge-du-cheval-blanc-lembach; Pascal Bastian; 67510; Prix - De 58 € à 110 €
Le Violon d'Ingres;  https://restaurant.michelin.fr/2aa5u1w/le-violon-dingres-paris-07; Christian Constant; 75007; Prix - De 49 € à 130 €
Le Meurice Alain Ducasse;  https://restaurant.michelin.fr/2a7d9c1/le-meurice-alain-ducasse-paris-01; Jocelyn Herland; 75001; Prix - De 85 € à 380 €
La Table du Connétable;  https://restaurant.michelin.fr/jgutdlg/la-table-du-connetable-chantilly; Julien Lucas; 60500; Prix - De 67 € à 161 €
L'Esquisse;  https://restaurant.michelin.fr/9tr3fvt/lesquisse-annecy; ; 74000; Prix - De 39 € à 89 €
Auberge Le Prieuré;  https://restaurant.michelin.fr/2dl7htu/auberge-le-prieure-moirax; ; 47310; Prix - De 28 € à 80 €
Dominique Bouchet;  https://restaurant.michelin.fr/2doe0bh/dominique-bouchet-paris-08; Dominique Bouchet; 75008; Prix - De 58 € à 125 €
La Madeleine;  https://restaurant.michelin.fr/2azofoh/la-madeleine-sens; Patrick Gauthier; 89100; Prix - De 49.5 € à 67 €
Domaine des Hauts de Loire;  https://restaurant.michelin.fr/2cedaza/domaine-des-hauts-de-loire-onzain; Rémy Giraud; 41150; Prix - De 49 € à 165 €
Brikéténia;  https://restaurant.michelin.fr/2es4wcd/briketenia-guethary; ; 64210; Prix - De 36 € à 99 €
Likoké;  https://restaurant.michelin.fr/1ad26y4c/likoke-les-vans; ; 07140; Prix - De 50 € à 145 €
Le Clos des Sens;  https://restaurant.michelin.fr/28pf13h/le-clos-des-sens-annecy-le-vieux; Laurent Petit; 74940; Prix - De 78 € à 198 €
La Palmeraie;  https://restaurant.michelin.fr/2btuhm0/la-palmeraie-la-croix-valmer; Jimmy Coutel; 83420; Prix - De 28 € à 65 €
La Grange de Belle-Église;  https://restaurant.michelin.fr/28vem1k/la-grange-de-belle-eglise-belle-eglise; Marc Duval; 60540; Prix - De 26 € à 160 €
Qui plume la Lune;  https://restaurant.michelin.fr/jh83esx/qui-plume-la-lune-paris-11; Jacky Ribault; 75011; Prix - De 45 € à 130 €
Hostellerie la Montagne;  https://restaurant.michelin.fr/298i34w/hostellerie-la-montagne-colombey-les-deux-eglises; Jean-Baptiste Natali; 52330; Prix - De 28 € à 105 €
Le France;  https://restaurant.michelin.fr/2d32mvv/le-france-villers-le-lac; Hugues Droz; 25130; Prix - De 22 € à 39 €
Flocons de Sel;  https://restaurant.michelin.fr/29wzk9t/flocons-de-sel-megeve; Emmanuel Renaut; 74120; Prix - De 90 € à 168 €
Chapelle Saint-Martin;  https://restaurant.michelin.fr/2c4rgah/chapelle-saint-martin-nieul; Gilles Dudognon; 87510; Prix - De 55 € à 89 €
Umami;  https://restaurant.michelin.fr/2ei9xex/umami-strasbourg; ; 67000; Prix - De 55 € à 85 €
Auberge de Clochemerle;  https://restaurant.michelin.fr/2dckc0s/auberge-de-clochemerle-vaux-en-beaujolais; Romain Barthe; 69460; Prix - De 48 € à 88 €
Hervé Busset;  https://restaurant.michelin.fr/2brjniu/herve-busset-conques-en-rouergue; ; 12320; Prix - De 40 € à 110 €
Michel Sarran;  https://restaurant.michelin.fr/2b380z8/michel-sarran-toulouse; ; 31000; Prix - De 60 € à 205 €
Le Saint-James;  https://restaurant.michelin.fr/2bj8gr9/le-saint-james-bouliac; Nicolas Magie; 33270; Prix - De 49 € à 160 €
La Poule au Pot;  https://restaurant.michelin.fr/4042311/la-poule-au-pot-paris-01; ; 75001; Prix - De 48 € à 122 €
Le Puits du Trésor;  https://restaurant.michelin.fr/29pxfvs/le-puits-du-tresor-lastours; ; 11600; Prix - De 47 € à 93 €
Le Clarence;  https://restaurant.michelin.fr/sntd30zx/le-clarence-paris-08; ; 75008; Prix - De 90 € à 320 €
Les Cèdres;  https://restaurant.michelin.fr/2appio4/les-cedres-granges-les-beaumont; Jacques Bertrand; 26600; Prix - De 47 € à 105 €
Ô Saveurs;  https://restaurant.michelin.fr/2b3jb0y/o-saveurs-rouffiac-tolosan; David Biasibetti; 31180; Prix - De 28 € à 100 €
Au Vieux Couvent;  https://restaurant.michelin.fr/2aogs9u/au-vieux-couvent-rhinau; Alexis Albrecht; 67860; Prix - De 37 € à 110 €
L'Auberge Basque;  https://restaurant.michelin.fr/2efx4u4/lauberge-basque-saint-pee-sur-nivelle; Cédric Béchade; 64310; Prix - De 29 € à 71 €
Les Terraillers;  https://restaurant.michelin.fr/28x308q/les-terraillers-biot; Michaël Fulci; 06410; Prix - De 43 € à 130 €
Les Clefs d'Argent;  https://restaurant.michelin.fr/2e0bvx8/les-clefs-dargent-mont-de-marsan; Christophe Dupouy; 40000; Prix - De 25 € à 100 €
Frédéric Doucet;  https://restaurant.michelin.fr/295q5w8/frederic-doucet-charolles; Frédéric Doucet; 71120; Prix - De 45 € à 95 €
Pierre Reboul;  https://restaurant.michelin.fr/9pmxzh3/pierre-reboul-aix-en-provence; Pierre Reboul; 13290; Prix - De 51 € à 139 €
Le Moulin des Quatre Saisons;  https://restaurant.michelin.fr/29hrl09/le-moulin-des-quatre-saisons-la-fleche; ; 72200; Prix - De 35 € à 120 €
Virtus;  https://restaurant.michelin.fr/3ez7apxd/virtus-paris-12; Chiho Kanzaki; 75012; Prix - De 19.5 € à 64.5 €
Maison Dufossé - La Table;  https://restaurant.michelin.fr/2dse7wh/maison-dufosse-la-table-metz; Christophe Dufossé; 57000; Prix - De 38 € à 125 €
Le Duèze;  https://restaurant.michelin.fr/2blc3qr/le-dueze-mercues; Julien Poisot; 46090; Prix - De 39 € à 155 €
Le Champ des Lunes;  https://restaurant.michelin.fr/ua2fx9zg/le-champ-des-lunes-lauris; Jérôme Faure; 84360; Prix - De 35 € à 108 €
Le Clocher des Pères;  https://restaurant.michelin.fr/h43i086/le-clocher-des-peres-saint-martin-sur-la-chambre; Pierre Troccaz; 73130; Prix - De 43 € à 58 €
L'Auberge de la Pomme;  https://restaurant.michelin.fr/2al6a9i/lauberge-de-la-pomme-les-damps; William Boquelet; 27340; Prix - De 35 € à 88 €
Domaine d'Auriac;  https://restaurant.michelin.fr/2bmf006/domaine-dauriac-carcassonne; Philippe Deschamps; 11000; Prix - De 49 € à 69 €
Sylvestre;  https://restaurant.michelin.fr/2fe7j1g/sylvestre-paris-07; Sylvestre Wahid; 75007; Prix - De 55 € à 250 €
Château Cordeillan-Bages;  https://restaurant.michelin.fr/2chq5p0/chateau-cordeillan-bages-pauillac; ; 33250; Prix - De 75 € à 155 €
Le Pressoir;  https://restaurant.michelin.fr/2b6sa1u/le-pressoir-saint-ave; Vincent David; 56890; Prix - De 34 € à 100 €
Girardin - Gastronomique;  https://restaurant.michelin.fr/xha7r0xl/girardin-gastronomique-colmar; Éric Girardin; 68000; Prix - De 78 € à 134 €
L'Essentiel;  https://restaurant.michelin.fr/2dwdwxo/lessentiel-perigueux; ; 24000; Prix - De 31 € à 85 €
Hostellerie de l'Abbaye de la Celle;  https://restaurant.michelin.fr/2bn8o1t/hostellerie-de-labbaye-de-la-celle-la-celle; Nicolas Pierantoni; 83170; Prix - De 40 € à 140 €
1920;  https://restaurant.michelin.fr/3409276/1920-megeve; Julien Gatillon; 74120; Prix - De 155 € à 210 €
Le Petit Nice;  https://restaurant.michelin.fr/2c76rmd/le-petit-nice-marseille-07; Gérald Passédat; 13007; Prix - De 110 € à 380 €
L'Atelier Yssoirien;  https://restaurant.michelin.fr/akc6ovv/latelier-yssoirien-issoire; Dorian Van Bronkhorst; 63500; Prix - De 18 € à 50 €
Le Baudelaire;  https://restaurant.michelin.fr/2fdc0eg/le-baudelaire-paris-01; Guillaume Goupil; 75001; Prix - De 58 € à 150 €
Le Saison;  https://restaurant.michelin.fr/2ao631n/le-saison-saint-gregoire; David Etcheverry; 35760; Prix - De 35 € à 136 €
Le Lièvre Gourmand;  https://restaurant.michelin.fr/2f48mjv/le-lievre-gourmand-orleans; ; 45000; Prix - De 41 € à 77 €
La Condesa;  https://restaurant.michelin.fr/3491071/la-condesa-paris-09; Indra Carrillo; 75009; Prix - De 38 € à 85 €
Yoann Conte;  https://restaurant.michelin.fr/2fcm39b/yoann-conte-veyrier-du-lac; Yoann Conte; 74290; Prix - De 98 € à 249 €
Manoir de la Boulaie;  https://restaurant.michelin.fr/2a3ey4n/manoir-de-la-boulaie-haute-goulaine; Laurent Saudeau; 44115; Prix - De 59 € à 148 €
Le Taillevent;  https://restaurant.michelin.fr/2ab9sgk/le-taillevent-paris-08; ; 75008; Prix - De 90 € à 198 €
Loiseau des Ducs;  https://restaurant.michelin.fr/2jd4ivca/loiseau-des-ducs-dijon; Louis-Philippe Vigilant; 21000; Prix - De 23 € à 105 €
Atmosphères;  https://restaurant.michelin.fr/28zmco9/atmospheres-le-bourget-du-lac; Alain Périllat-Mercerot; 73370; Prix - De 45 € à 100 €
Quai des Saveurs;  https://restaurant.michelin.fr/2e9sbx2/quai-des-saveurs-hagondange; Frédéric Sandrini; 57300; Prix - De 45 € à 90 €
La Table du Gourmet;  https://restaurant.michelin.fr/2aosxv6/la-table-du-gourmet-riquewihr; Jean-Luc Brendel; 68340; Prix - De 38 € à 110 €
Les Hautes Roches;  https://restaurant.michelin.fr/2cyg6yb/les-hautes-roches-rochecorbon; Didier Edon; 37210; Prix - De 60 € à 80 €
La Passagère;  https://restaurant.michelin.fr/29odhbw/la-passagere-juan-les-pins; Aurélien Véquaud; 06160; Prix - De 90 € à 130 €
Le Refuge des Gourmets;  https://restaurant.michelin.fr/29uv8a7/le-refuge-des-gourmets-machilly; Jean-Marie et Hubert Chanove; 74140; Prix - De 35 € à 115 €
La Balette;  https://restaurant.michelin.fr/2dlsvt0/la-balette-collioure; Frédéric Bacquié; 66190; Prix - De 35 € à 115 €
Auberge des Saints Pères;  https://restaurant.michelin.fr/2aga7gz/auberge-des-saints-peres-aulnay-sous-bois; Jean-Claude Cahagnet; 93600; Prix - De 43 € à 90 €
Le Moulin de Léré;  https://restaurant.michelin.fr/bca0zrw3/le-moulin-de-lere-vailly; Frédéric Molina; 74470; Prix - De 37 € à 70 €
La Promenade;  https://restaurant.michelin.fr/2ajy6gr/la-promenade-le-petit-pressigny; Fabrice et Jacky Dallais; 37350; Prix - De 43 € à 100 €
Le Sérac;  https://restaurant.michelin.fr/2di661r/le-serac-saint-gervais-les-bains; ; 74170; Prix - De 35 € à 65 €
Têtedoie;  https://restaurant.michelin.fr/29tfnmd288/tetedoie-lyon-05; Christian Têtedoie; 69005; Prix - De 48 € à 145 €
Rodolphe;  https://restaurant.michelin.fr/j9cof0s1/rodolphe-rouen; ; 76000; Prix - De 35 € à 90 €
Le Musigny;  https://restaurant.michelin.fr/3yjthyc/le-musigny-valenciennes; Emmanuel Hernandez; 59300; Prix - De 33 € à 100 €
L'Archeste;  https://restaurant.michelin.fr/2852206/larcheste-paris-16; ; 75116; Prix - De 52 € à 110 €
L'Oustau de Baumanière;  https://restaurant.michelin.fr/28tn79w/loustau-de-baumaniere-les-baux-de-provence; Glenn Viel; 13520; Prix - De 100 € à 220 €
L'Ambroisie;  https://restaurant.michelin.fr/2a8d13e/lambroisie-paris-04; ; 75004; Prix - De 210 € à 390 €
L'Amphitryon;  https://restaurant.michelin.fr/29saut6/lamphitryon-lorient; ; 56100; Prix - De 29 € à 130 €
L'Auberge des Glazicks;  https://restaurant.michelin.fr/2akhln2/lauberge-des-glazicks-plomodiern; Olivier Bellin; 29550; Prix - De 60 € à 225 €
Haut Bonheur de la Table;  https://restaurant.michelin.fr/6274yuk/haut-bonheur-de-la-table-cassel; ; 59670; Prix - De 44 € à 56 €
Val d'Auge;  https://restaurant.michelin.fr/29rcoot/val-dauge-bondues; ; 59910; Prix - De 45 € à 110 €
Marsan - Hélène Darroze;  https://restaurant.michelin.fr/2a93ort/marsan-helene-darroze-paris-06; Hélène Darroze; 75006; Prix - De 58 € à 98 €
L'Essentiel;  https://restaurant.michelin.fr/40jnqvq/lessentiel-deauville; Mi-Ra et Charles Thuillant; 14800; Prix - De 19 € à 69 €
Château de la Treyne;  https://restaurant.michelin.fr/2c38ubh/chateau-de-la-treyne-lacave; ; 46200; Prix - De 50 € à 146 €
Alliance;  https://restaurant.michelin.fr/t4cp5kaa/alliance-paris-05; Toshitaka Omiya; 75005; Prix - De 46 € à 110 €
JY'S;  https://restaurant.michelin.fr/298563e/jys-colmar; Jean-Yves Schillinger; 68000; Prix - De 45 € à 85 €
Hostellerie de Levernois;  https://restaurant.michelin.fr/28updvu/hostellerie-de-levernois-levernois; ; 21200; Prix - De 75 € à 125 €
La Grande Maison de Bernard Magrez;  https://restaurant.michelin.fr/a7u4fcer/la-grande-maison-de-bernard-magrez-bordeaux; Jean-Denis Lebras; 33000; Prix - De 60 € à 195 €
Antoine;  https://restaurant.michelin.fr/2euo0rk/antoine-paris-16; Thibault Sombardier; 75116; Prix - De 48 € à 150 €
Le Bistrot de Lagarde;  https://restaurant.michelin.fr/jfxt32k/le-bistrot-de-lagarde-lagarde-dapt; ; 84400; Prix - De 39 € à 107 €
Restaurant H;  https://restaurant.michelin.fr/2851556/restaurant-h-paris-04; ; 75004; Prix - De 35 € à 80 €
Lamartine;  https://restaurant.michelin.fr/28zi7ln/lamartine-le-bourget-du-lac; Pierre Marin; 73370; Prix - De 33 € à 102 €
La Rastègue;  https://restaurant.michelin.fr/2dfjaik/la-rastegue-bormes-les-mimosas; ; 83230; Prix moyen - 49 €
NESO;  https://restaurant.michelin.fr/4041136/neso-paris-09; ; 75009; Prix - De 55 € à 120 €
Le Jardin de Benjamin;  https://restaurant.michelin.fr/xhr5bt96/le-jardin-de-benjamin-lorgues; Benjamin Collombat; 83510; Prix - De 55 € à 125 €
AM par Alexandre Mazzia;  https://restaurant.michelin.fr/4gq15sff/am-par-alexandre-mazzia-marseille-08; Alexandre Mazzia; 13008; Prix - De 39 € à 140 €
Villa de l'Étang Blanc;  https://restaurant.michelin.fr/2dtglr4/villa-de-letang-blanc-seignosse; ; 40510; Prix - De 19 € à 55 €
Septime;  https://restaurant.michelin.fr/3xrgyvn/septime-paris-11; ; 75011; Prix - De 42 € à 80 €
Auberge Grand'Maison;  https://restaurant.michelin.fr/2a2flya/auberge-grandmaison-mur-de-bretagne; Christophe Le Fur; 22530; Prix - De 27 € à 80 €
Auberge La Pomme d'Api;  https://restaurant.michelin.fr/2aw36e7/auberge-la-pomme-dapi-saint-pol-de-leon; Jérémie Le Calvez; 29250; Prix - De 25 € à 82 €
Maison Kieny;  https://restaurant.michelin.fr/2a22p1u/maison-kieny-riedisheim; Jean-Marc KIENY; 68400; Prix - De 33 € à 80 €
La Villa Madie;  https://restaurant.michelin.fr/2eb50c1n/la-villa-madie-cassis; Dimitri Droisneau; 13260; Prix - De 95 € à 162 €
Greuze;  https://restaurant.michelin.fr/3uonmfw/greuze-tournus; Yohann Chapuis; 71700; Prix - De 42 € à 135 €
Louison;  https://restaurant.michelin.fr/3068881/louison-le-puy-sainte-reparade; Gérald Passedat; 13610; Prix - De 65 € à 165 €
La Bastide de Moustiers;  https://restaurant.michelin.fr/2cbq46s/la-bastide-de-moustiers-moustiers-sainte-marie; Frédéric Garnier; 04360; Prix - De 60 € à 90 €
La Table de Philippe Girardon;  https://restaurant.michelin.fr/2b8j4np/la-table-de-philippe-girardon-chonas-lamballan; Philippe Girardon; 38121; Prix - De 28 € à 100 €
Le Vivarais;  https://restaurant.michelin.fr/2fay1do/le-vivarais-vals-les-bains; Stéphane Polly; 07600; Prix - De 27 € à 100 €
Auberge de l'Ill;  https://restaurant.michelin.fr/29nft26/auberge-de-lill-illhaeusern; Marc Haeberlin; 68970; Prix - De 106 € à 276 €
Le M;  https://restaurant.michelin.fr/2epv4gf/le-m-brest; ; 29200; Prix - De 44 € à 90 €
Elsa;  https://restaurant.michelin.fr/9p2kj2b/elsa-cap-martin; Paolo Sari; 06190; Prix - De 55 € à 160 €
Le Cloître;  https://restaurant.michelin.fr/2ep5ghq/le-cloitre-mane; Jérôme Roy; 04300; Prix - De 85 € à 155 €
Côté Cuisine;  https://restaurant.michelin.fr/mhm4jdd/cote-cuisine-carnac; ; 56340; Prix - De 24 € à 55 €
La Table Breizh Café;  https://restaurant.michelin.fr/2f8ln9w/la-table-breizh-cafe-cancale; Fumio KUDAKA; 35260; Prix - De 38 € à 75 €
Le Cercle;  https://restaurant.michelin.fr/9trxkaz/le-cercle-bourges; ; 18000; Prix - De 55 € à 105 €
SaQuaNa;  https://restaurant.michelin.fr/2e11xi8/saquana-honfleur; ; 14600; Prix - De 90 € à 130 €
La Vague d'Or - Cheval Blanc St-Tropez;  https://restaurant.michelin.fr/2csqkr7/la-vague-dor-cheval-blanc-st-tropez-saint-tropez; Arnaud Donckele; 83990; Prix - De 295 € à 340 €
Apicius;  https://restaurant.michelin.fr/2affgmi/apicius-paris-08; ; 75008; Prix - De 125 € à 220 €
La Closerie;  https://restaurant.michelin.fr/2eebgpo/la-closerie-ansouis; ; 84240; Prix - De 36 € à 87 €
Lalique;  https://restaurant.michelin.fr/3803186/lalique-bommes; Jérôme Schilling; 33210; Prix - De 65 € à 245 €
Le Jasmin;  https://restaurant.michelin.fr/u6v6rb42/le-jasmin-saint-sylvestre-sur-lot; Xavier Lesueur; 47140; Prix moyen - 55 €
À Contre Sens;  https://restaurant.michelin.fr/3wc5nsy/contre-sens-caen; ; 14000; Prix - De 27 € à 77 €
Le Carré d'Alethius;  https://restaurant.michelin.fr/2fa4jx5/le-carre-dalethius-charmes-sur-rhone; Olivier Samin; 07800; Prix - De 22 € à 75 €
L'Ecrin;  https://restaurant.michelin.fr/3503291/lecrin-paris-08; ; 75008; Prix - De 95 € à 220 €
Le Grand Cerf;  https://restaurant.michelin.fr/2anw751/le-grand-cerf-montchenot; ; 51500; Prix - De 37 € à 84 €
Les Oliviers;  https://restaurant.michelin.fr/2e1on31/les-oliviers-bandol; ; 83150; Prix - De 58 € à 128 €
Les Tables de Gaspard;  https://restaurant.michelin.fr/2duw4bw/les-tables-de-gaspard-saint-crepin; ; 05600; Prix - De 36 € à 69 €
Ursus;  https://restaurant.michelin.fr/2f5gm14/ursus-tignes; Clément Bouvier; 73320; Prix - De 42 € à 76 €
Xavier Mathieu;  https://restaurant.michelin.fr/2c2u7lh/xavier-mathieu-joucas; Xavier Mathieu; 84220; Prix - De 80 € à 170 €
Auberge de la Brie;  https://restaurant.michelin.fr/29ask7o/auberge-de-la-brie-couilly-pont-aux-dames; ; 77860; Prix - De 40 € à 100 €
L'Olivier;  https://restaurant.michelin.fr/2c1rglq/lolivier-hyeres; ; 83400; Prix - De 90 € à 160 €
1131;  https://restaurant.michelin.fr/2e4epe8/1131-la-bussiere-sur-ouche; Guillaume Royer; 21360; Prix moyen - 98 €
La Table de Chaintré;  https://restaurant.michelin.fr/294fsc5/la-table-de-chaintre-chaintre; ; 71570; Prix - De 42 € à 60 €
Château de Pray;  https://restaurant.michelin.fr/2bcbfo0/chateau-de-pray-charge; ; 37400; Prix - De 59 € à 135 €
Le Colombier;  https://restaurant.michelin.fr/29d8fg4/le-colombier-offranville; ; 76550; Prix - De 26 € à 80 €
Aida;  https://restaurant.michelin.fr/2dzh7q2/aida-paris-07; Koji Aida; 75007; Prix moyen - 160 €
Restaurant Christian Étienne;  https://restaurant.michelin.fr/28s2o1u/restaurant-christian-etienne-avignon; Guilhem Sevin; 84000; Prix - De 35 € à 130 €
Pic;  https://restaurant.michelin.fr/2d0hddd/pic-valence; Anne-Sophie Pic; 26000; Prix - De 110 € à 330 €
Alain Ducasse au Plaza Athénée;  https://restaurant.michelin.fr/2ab76wf/alain-ducasse-au-plaza-athenee-paris-08; ; 75008; Prix - De 210 € à 395 €
La Table de Castigno;  https://restaurant.michelin.fr/xh15qqss/la-table-de-castigno-assignan; Ruben & Pieter de Maesschalck; 34360; Prix - De 24 € à 68 €
Meurin;  https://restaurant.michelin.fr/2dyfstx/meurin-busnes; Marc Meurin; 62350; Prix - De 80 € à 135 €
L'Ostal;  https://restaurant.michelin.fr/uhpabnjd/lostal-clermont-ferrand; Emmanuel Hebrard; 63000; Prix - De 29 € à 49 €
Assa;  https://restaurant.michelin.fr/3m0pjn8/assa-blois; Fumiko et Anthony Maubert; 41000; Prix - De 47 € à 85 €
